Year,First 90°F,First 95°F,First 100°F,Summer High [°F],Last 100°F,Last 95°F,Last 90°F,Number of >100°F Days
1914,16-Apr,19-Jun,28-Jun,106 / Jul 31 ,1-Aug,11-Sep,17-Oct,12
1913,16-Apr,17-May,1-Jun,107 / Aug 295 ,6-Sep,6-Sep,5-Oct,19
1912,19-Mar,27-May,13-Jun,109 / Jul 29 ,3-Aug,24-Sep,9-Oct,10
1911,31-Jan,9-Mar,9-Mar,106 / Aug 14 ,22-Aug,1-Oct,6-Oct,27
1910,22-Mar,1-Jun,2-Jun,105 / Jul 17 ,24-Aug,14-Oct,14-Oct,14
1909,5-Mar,29-Apr,8-Jul,112 / Aug 18 ,10-Sep,14-Oct,14-Oct,17
1908,17-Mar,13-Jun,7-Aug,100 / Aug 7 ,7-Aug,8-Sep,9-Sep,1
1907,18-Mar,19-Mar,1-Jul,102 / Aug 8 ,7-Sep,1-Oct,3-Oct,12
1906,4-May,10-Jun,  ,99 / Aug 304 ,  ,27-Jul,23-Sep,0
1905,3-Jun,8-Jun,19-Aug,102 / Aug 19 ,19-Aug,16-Sep,14-Oct,1
1904,25-Feb,25-Feb,12-Jul,103 / Jul 12 ,12-Jul,5-Oct,10-Oct,1
1903,1-Apr,12-Jul,16-Aug,100 / Aug 16 ,16-Aug,29-Aug,26-Sep,1
1902,3-Mar,8-Jun,18-Jun,103 / Aug 273 ,29-Aug,11-Sep,29-Sep,8
1901,2-Mar,10-May,16-Jun,108 / Aug 28 ,29-Aug,14-Sep,2-Oct,18
1900,24-May,6-Jun,22-Jun,102 / Sep 162 ,16-Sep,16-Sep,6-Oct,4
1899,25-Mar,25-Mar,23-Jul,104 / Aug 241 ,28-Aug,13-Sep,20-Oct,15
